"","V1","V2","V3"
"1",49.384,0.277000000000001,49.018
"2",49.384,0.277000000000001,49.018
"3",33.442,0.111999999999995,33.3919999999998
"4",99.4899999999998,0.347000000000008,99.4390000000003
"5",89.2439999999997,0.412000000000006,89.3380000000016
"6",90.7560000000003,0.409000000000006,90.8639999999996
"7",NA,NA,NA
"8",28,28,51
"9",NA,NA,NA
"10",115,126,128
"11",28,28,31
"12",28,28,29
"13",28,28,29
"14",NA,NA,NA
